loan_status,annual_inc,delinq_2yrs,dti,emp_length,int_rate,revol_bal,total_acc,funded_amnt,total_pymnt,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months
1.000000000000000000e+00,-4.180800226806226094e-01,1.702600335469067971e+00,-5.412701786970418594e-01,2.000000000000000000e+00,1.098999999999999977e-01,-8.141184865972131979e-01,5.243317595585251789e-01,2.891231300434258800e-01,3.621696254279642146e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.021707313062123701e+00,3.714054359815969431e+00,-1.883273449525839638e+00,1.000000000000000000e+01,1.267999999999999960e-01,-6.530951363710546520e-01,-6.222090967740215861e-01,-1.267822698112809343e-01,-1.100160524863713213e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-2.980977447020604076e-01,-3.088536888778334322e-01,3.921676519016552565e-01,1.000000000000000000e+00,6.539999999999999980e-02,8.113909478009124765e-01,1.494481714916833903e+00,-5.704146963229681511e-01,-1.178633409170101398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-9.460020457862962084e-01,-3.088536888778334322e-01,-9.065932913115477554e-01,1.000000000000000000e+00,1.628999999999999893e-01,-6.119628109050414544e-01,-1.415968151158092381e+00,-1.180409282776538227e+00,-1.001296724215139156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.821148759894502811e-01,-3.088536888778334322e-01,6.188170931971854749e-01,1.000000000000000000e+01,1.136000000000000065e-01,-1.660808900999477811e-01,-2.694272948255456157e-01,-8.199579362357922729e-01,-7.376616486044311749e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-4.080814995157424074e-01,-3.088536888778334322e-01,-3.727742124707593141e-01,4.000000000000000000e+00,1.676999999999999880e-01,6.014720934819741682e-01,-8.867954482353784806e-01,1.606156896249997468e+00,2.150729436525089966e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.421648239657331114e+00,7.736962408509772793e+00,9.751935173394996603e-01,3.000000000000000000e+00,1.899000000000000132e-01,-3.961589663367799941e-01,3.081999823684975048e+00,3.237819133646514524e-01,6.822436973579472097e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,-2.781006983723000592e-01,-3.088536888778334322e-01,-8.081797181174359412e-01,1.000000000000000000e+00,1.064999999999999974e-01,-2.082775223131790587e-01,-8.867954482353784806e-01,-6.813228029508899830e-01,-6.452602707270519433e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.217516181157181965e-01,-3.088536888778334322e-01,-3.130893578209868744e-02,1.000000000000000000e+00,1.298999999999999877e-01,-8.257006482581149553e-01,8.335450712293028530e-02,-8.199579362357922729e-01,-6.683297038411313284e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.380623006591848112e-01,-3.088536888778334322e-01,1.207807417616491685e+00,1.000000000000000000e+01,1.531000000000000139e-01,-6.559781190671901130e-02,4.361363090714062141e-01,2.891231300434258800e-01,4.704806341884472665e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
